ID_Sample	raw_reads	filt_reads
0001967K_T1	1061	671
0001967K_T3	20860	10726
0001967K_T6	48290	27705
0018303G_T0	25719	14273
0088303G_T0	9051	5458
0088303G_T1	11707	5867
0088303G_T3	3587	2095
0110059G_T0	4792	2312
0110059G_T1	367	245
0110059G_T12	828	520
0110059G_T3	4188	2313
0110059G_T6	3272	1912
0120695B_T0	12912	8429
0130765A_T0	4773	2068
0130765A_T1	3901	1894
0130765A_T12	921	561
0130765A_T3	1632	877
0130765A_T6	4538	2485
0207720E_T0	14784	7780
0207720E_T1	2168	969
0207720E_T12	3331	1803
0207720E_T3	13647	6661
0236549G_T0	2611	1395
0236549G_T12	4297	1946
0236549G_T3	6547	3559
0236549G_T6	992	634
0313863D_T0	11940	6227
0313863D_T1	8818	4299
0313863D_T12	6916	3542
0313863D_T3	16677	9290
0332596H_PreC	1788	859
0332596H_T1	6323	3308
0332596H_T6	817	476
0358613K_T0	3259	1671
0358613K_T1	7573	3650
0358613K_T3	1432	917
0358613K_T6	16032	10421
0492882D_T0	8058	5058
0492882D_T1	3729	1961
0492882D_T12	1530	912
0492882D_T3	11225	6072
0492882D_T6	6502	3717
0514164A_T0	13912	7554
0514164A_T1	8583	4203
0514164A_T3	8804	5065
0514164A_T6	37	16
0518952I_T0	17542	9541
0561785J_T0	31614	17454
0584352K_T0	9696	6309
0584352K_T1	2058	1037
0584352K_T3	1221	573
0584352K_T6	4971	3020
0689227I_T0	6178	3095
0689227I_T1	7571	3628
0689227I_T12	798	364
0689227I_T3	522	320
0689227I_T6	12064	7026
0732163H_T0	15309	8579
0732163H_T3	7234	4199
0732163H_T6	6951	3778
0780068I_T0	2571	1400
0780068I_T12	3999	2239
0780068I_T3	9717	5074
0780068I_T6	9641	6189
0784533E_T0	22915	12216
0784533E_T1	4756	2573
0784533E_T3	759	452
0784533E_T6	1020	637
0878122D_T0	8987	4463
0878122D_T3	7295	4267
0878122D_T6	719	445
0928507A_T0	4393	2457
0974256K_T0	7548	4676
0974256K_T1	891	312
0980601G_T0	3123	1669
0980601G_T1	4040	2055
0980601G_T12	822	494
0980601G_T3	29552	16155
0980601G_T6	2291	1292
0990961D_T0	79	22
0990961D_T1	2057	905
0990961D_T12	852	545
0990961D_T3	3576	1635
0990961D_T6	16503	9373
1190552D_T0	13743	7752
1190552D_T12	293	186
1190552D_T3	3501	1602
1272679D_T0	5550	3350
1272679D_T1	13890	7138
1272679D_T12	671	419
1272679D_T3	7080	4114
1272679D_T6	4125	2219
1377897D_T0	12752	6409
1377897D_T1	2159	973
1377897D_T12	6972	3427
1377897D_T3	32489	19901
1427495A_T0	3414	1894
1427495A_T12	10470	5735
1427495A_T3	4630	2531
1427495A_T6	4057	1978
1512536E_T0	10542	5878
1512536E_T1	5276	2551
1512536E_T12	6308	3396
1512536E_T3	7191	4055
1512536E_T6	2443	1579
1526680J_T1	2217	1130
1526680J_T12	60	19
1526680J_T3	14299	7489
1526680J_T6	37	20
1532317F_T0	12857	6510
1532317F_T12	8234	4331
1532317F_T3	30361	16829
1532317F_T6	3223	1717
1552332D_T0	5628	3630
1552332D_T1	3463	1512
1552332D_T12	6737	3673
1552332D_T3	3942	2553
1553248E_T0	9189	5004
1553248E_T1	7896	4002
1553248E_T3	11399	6693
1553248E_T6	225	129
1557602I_T0	6803	3583
1557602I_T1	24159	13984
1557602I_T3	8488	4903
1557602I_T6	892	570
1560534I_T0	12053	6961
1560534I_T1	11430	5846
1560534I_T12	1401	764
1560534I_T3	67353	38330
1560534I_T6	3817	2525
1562839D_T0	4089	2437
1562839D_T12	564	321
1562839D_T3	2459	1550
1562839D_T6	3855	2245
1567252D_T0	15636	8176
1567252D_T1	7994	3960
1567252D_T12	2474	1285
1567252D_T3	6614	3304
1567252D_T6	4598	2926
1571955H_T0	18760	9817
1571955H_T3	3735	2117
1578804D_T1	207	64
1578804D_T12	3981	2138
1578804D_T3	4185	2290
1578804D_T6	496	323
1605228B_T0	1944	1068
1605228B_T1	7353	3538
1605228B_T12	1088	676
1605228B_T3	7109	4722
1605228B_T6	6413	3599
1613180K_T0	13549	7091
1613180K_T1	12424	6084
1618827B_T0	22785	13054
1618827B_T1	9350	4690
1618827B_T3	4316	2393
1628845C_T1	7763	3656
1628845C_T3	618	363
1628845C_T6	1557	862
1645117H_T0	26435	14354
1645117H_T1	7241	3423
1649434F_T0	10399	6013
16544702B_T3	5103	2986
1654702B_T0	11470	6131
1654702B_T1	764	413
1654702B_T6	1202	682
1668337K_T0	3790	1991
1668337K_T1	19005	10125
